S.N.,District,Book Title,Book Link
1,Banke,[District - Banke ] Climate Smart Improved Packages of Cultivation Practices,http://namis.gov.np/downloadfile/Climate%20Smart%20Improved%20Packages%20of%20Cultivation%20Practices_Banke_1477202099.pdf
2,Bara,[District - Bara ] Climate Smart Improved Packages of Cultivation Practices,http://namis.gov.np/downloadfile/Climate%20Smart%20Improved%20Packages%20of%20Cultivation%20Practices_Bara_1477203366.pdf
3,Dhankuta,[District – Dhankuta] Climate Smart Improved Packages of Cultivation Practices,http://namis.gov.np/downloadfile/Climate%20Smart%20Improved%20Packages%20of%20Cultivation%20Practices_Dhankuta_1477203433.pdf
4,Jhapa,[District – Jhapa] Climate Smart Improved Packages of Cultivation Practices,http://namis.gov.np/downloadfile/Climate%20Smart%20Improved%20Packages%20of%20Cultivation%20Practices_Jhapa_1477203493.pdf
5,Kavre,[District – Kavre] Climate Smart Improved Packages of Cultivation Practices,http://namis.gov.np/downloadfile/Climate%20Smart%20Improved%20Packages%20of%20Cultivation%20Practices_Kavre_1477203565.pdf
6,Rupendehi,[District – Rupendehi] Climate Smart Improved Packages of Cultivation Practices,http://namis.gov.np/downloadfile/Climate%20Smart%20Improved%20Packages%20of%20Cultivation%20Practices_Rupendehi_1477203651.pdf
7,Sankhuwasabha,[District – Sankhuwasabha] Climate Smart Improved Packages of Cultivation Practices,http://namis.gov.np/downloadfile/Climate%20Smart%20Improved%20Packages%20of%20Cultivation%20Practices_Sankhuwasabha_1477203716.pdf
8,Surkhet,[District – Surkhet] Climate Smart Improved Packages of Cultivation Practices,http://namis.gov.np/downloadfile/Climate%20Smart%20Improved%20Packages%20of%20Cultivation%20Practices_Surkhet_1477203801.pdf
